
transcript25-:
--------Lecture: b'material' b'blood' b'cells' b'materials' b'heart' b'body' b'polymer' b'metal' b'example' b'ball' 
--------1 paragraph: b'applications' b'cancer' b'engineers' b'materials' b'today' b'tuesday' b'cells' b'months' b'molecules' b'concepts' 
--------2 paragraph: b'toe' b'years' b'mummy' b'reason' b'materials' b'problems' b'people' b'thousands' b'senses' b'material' 
--------3 paragraph: b'eye' b'lens' b'vision' b'part' b'contact' b'material' b'properties' b'effort' b'difficulty' b'lives' 
--------4 paragraph: b'materials' b'polymers' b'number' b'details' b'slide' b'aspects' b'course' b'well' b'plastics' b'medicine' 
--------5 paragraph: b'material' b'chains' b'molecules' b'time' b'chairs' b'period' b'plastic' b'weight' b'ground' b'chair' 
--------6 paragraph: b'advantages' b'polymer' b'materials' b'things' b'lot' b'strength' b'metal' b'wood' b'chairs' 
--------7 paragraph: b'polymers' b'chains' b'kinds' b'years' b'materials' b'sophistication' b'chain' b'degree' b'monomers' b'length' 
--------8 paragraph: b'materials' b'application' b'body' b'material' b'range' b'kind' b'tissue' b'properties' b'compatibility' b'effects' 
--------9 paragraph: b'aorta' b'trauma' b'let' b'body' b'emergency' b'segment' b'example' b'artery' b'materials' b'order' 
--------10 paragraph: b'diameter' b'materials' b'vessels' b'decades' b'pictures' b'aorta' b'weeks' b'heart' b'example' b'arteries' 
--------11 paragraph: b'surgeons' b'material' b'suture' b'dacron' b'vessel' b'design' b'imagine' b'anastomosis' b'surgeon' b'part' 
--------12 paragraph: b'water' b'material' b'molecules' b'teflon' b'body' b'year' b'materials' b'droplet' b'kinds' b'pores' 
--------13 paragraph: b'heart' b'valves' b'valve' b'example' b'life' b'ages' b'rate' b'decades' b'weeks' b'action' 
--------14 paragraph: b'ball' b'cage' b'ring' b'heart' b'ventricle' b'pressure' b'sides' b'underneath' b'metal' b'material' 
--------15 paragraph: b'pressure' b'aorta' b'ventricle' b'ball' b'difference' b'sides' b'top' b'valve' b'pathway' b'cage' 
--------16 paragraph: b'ball' b'flow' b'valve' b'order' b'resistance' b'example' b'harder' b'fluid' b'aorta' b'path' 
--------17 paragraph: b'blood' b'cells' b'ball' b'flow' b'valve' b'molecules' b'water' b'damage' b'center' b'up' 
--------18 paragraph: b'metal' b'way' b'valve' b'leaflets' b'sort' b'outside' b'door' b'drop' b'pressure' b'response' 
--------19 paragraph: b'valves' b'structures' b'valve' b'options' b'tissue' b'ones' b'replacement' b'diseases' b'sort' b'pig' 
--------20 paragraph: b'blood' b'tissue' b'lives' b'reaction' b'cell' b'coagulation' b'course' b'endothelial' b'process' b'clotting' 
--------21 paragraph: b'blood' b'exposure' b'surface' b'protein' b'enzyme' b'state' b'network' b'result' b'fibrinogen' b'concept' 
